"Season","Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"2018","Mookie Betts","Red Sox","136","614","32","129","80","30","13.2 %","14.8 %",".294",".368",".346",".438",".640",".449","185","6.9","69.1","11.6","10.4","13611"
"2013","Mike Trout","Angels","157","716","27","109","97","33","15.4 %","19.0 %",".234",".376",".323",".432",".557",".423","176","8.2","70.5","0.5","10.1","10155"
"2012","Mike Trout","Angels","139","639","30","129","83","49","10.5 %","21.8 %",".238",".383",".326",".399",".564",".409","167","14.3","64.4","10.2","10.0","10155"
"2018","Mike Trout","Angels","140","608","39","101","79","24","20.1 %","20.4 %",".316",".346",".312",".460",".628",".447","191","5.0","71.1","4.2","9.8","10155"
"2016","Mike Trout","Angels","159","681","29","123","100","30","17.0 %","20.1 %",".235",".371",".315",".441",".550",".418","170","9.6","67.0","4.3","9.6","10155"
"2015","Mike Trout","Angels","159","682","41","104","90","11","13.5 %","23.2 %",".290",".344",".299",".402",".590",".415","171","3.0","58.7","6.6","9.3","10155"
"2014","Mike Trout","Angels","157","705","36","115","111","16","11.8 %","26.1 %",".274",".349",".287",".377",".561",".402","167","6.2","57.8","-4.5","8.3","10155"
"2016","Mookie Betts","Red Sox","158","730","31","122","113","26","6.7 %","11.0 %",".216",".322",".318",".363",".534",".379","136","10.6","41.8","14.0","8.2","13611"
"2018","Christian Yelich","Brewers","147","651","36","118","110","22","10.4 %","20.7 %",".272",".373",".326",".402",".598",".422","166","5.8","58.4","-5.1","7.6","11477"
"2015","Paul Goldschmidt","Diamondbacks","159","695","33","103","110","21","17.0 %","21.7 %",".249",".382",".321",".435",".570",".418","163","3.0","54.1","-7.5","7.2","9218"
"2017","Mike Trout","Angels","114","507","33","92","72","22","18.5 %","17.8 %",".323",".318",".306",".442",".629",".437","181","4.0","54.9","-3.5","6.9","10155"
"2013","Paul Goldschmidt","Diamondbacks","160","710","36","103","125","15","13.9 %","20.4 %",".249",".343",".302",".401",".551",".404","156","-0.9","43.9","-9.5","6.0","9218"
"2018","J.D. Martinez","Red Sox","150","649","43","111","130","6","10.6 %","22.5 %",".299",".375",".330",".402",".629",".427","170","-4.1","50.3","-14.7","5.9","6184"
"2016","Christian Yelich","Marlins","155","659","21","78","98","9","10.9 %","20.9 %",".185",".356",".298",".376",".483",".367","134","2.3","29.7","2.5","5.4","11477"
"2017","Mookie Betts","Red Sox","153","712","24","101","102","26","10.8 %","11.1 %",".194",".268",".264",".344",".459",".339","106","9.2","14.9","14.3","5.3","13611"
"2017","Paul Goldschmidt","Diamondbacks","155","665","36","117","120","18","14.1 %","22.1 %",".265",".343",".297",".404",".563",".400","142","3.3","39.4","-8.3","5.2","9218"
"2015","J.D. Martinez","Tigers","158","657","38","93","102","3","8.1 %","27.1 %",".253",".339",".282",".344",".535",".372","136","-2.4","25.2","2.1","5.2","6184"
"2018","Paul Goldschmidt","Diamondbacks","158","690","33","95","83","7","13.0 %","25.1 %",".243",".359",".290",".389",".533",".390","145","2.5","40.0","-12.0","5.1","9218"
"2016","Paul Goldschmidt","Diamondbacks","158","705","24","106","95","32","15.6 %","21.3 %",".192",".358",".297",".411",".489",".382","133","5.2","34.2","-8.1","5.0","9218"
"2015","Mookie Betts","Red Sox","145","654","18","92","77","21","7.0 %","12.5 %",".188",".310",".291",".341",".479",".351","120","7.9","23.1","0.5","4.8","13611"
"2017","Christian Yelich","Marlins","156","695","18","100","81","16","11.5 %","19.7 %",".156",".336",".282",".369",".439",".348","118","6.8","22.5","1.4","4.6","11477"
"2014","Paul Goldschmidt","Diamondbacks","109","479","19","75","69","9","13.4 %","23.0 %",".241",".368",".300",".396",".542",".402","154","3.1","32.2","-7.8","4.3","9218"
"2014","Christian Yelich","Marlins","144","660","9","94","54","21","10.6 %","20.8 %",".119",".356",".284",".362",".402",".341","118","3.8","17.4","-0.2","4.1","11477"
"2017","J.D. Martinez","- - -","119","489","45","85","104","4","10.8 %","26.2 %",".387",".327",".303",".376",".690",".430","167","-5.8","35.6","-13.6","3.8","6184"
"2014","J.D. Martinez","Tigers","123","480","23","57","76","6","6.3 %","26.3 %",".238",".389",".315",".358",".553",".391","154","-0.2","28.0","-8.4","3.8","6184"
"2012","Paul Goldschmidt","Diamondbacks","145","587","20","82","82","18","10.2 %","22.1 %",".204",".340",".286",".359",".490",".363","124","4.9","21.9","-13.4","2.8","9218"
"2015","Christian Yelich","Marlins","126","525","7","63","44","16","9.0 %","19.2 %",".116",".370",".300",".366",".416",".343","120","2.0","14.1","-8.1","2.4","11477"
"2016","J.D. Martinez","Tigers","120","517","22","69","68","1","9.5 %","24.8 %",".228",".378",".307",".373",".535",".384","143","-3.5","23.1","-18.6","2.2","6184"
"2013","Christian Yelich","Marlins","62","273","4","34","16","10","11.4 %","24.2 %",".108",".380",".288",".370",".396",".341","118","3.4","9.0","-0.5","1.8","11477"
"2014","Mookie Betts","Red Sox","52","213","5","34","18","7","9.9 %","14.6 %",".153",".327",".291",".368",".444",".361","129","2.5","9.2","0.5","1.8","13611"
"2011","J.D. Martinez","Astros","53","226","6","29","35","0","5.8 %","21.2 %",".149",".325",".274",".319",".423",".323","103","-2.1","-1.3","5.0","1.1","6184"
"2011","Mike Trout","Angels","40","135","5","20","16","4","6.7 %","22.2 %",".171",".247",".220",".281",".390",".296","87","1.8","-0.2","2.4","0.7","10155"
"2011","Paul Goldschmidt","Diamondbacks","48","177","8","28","26","4","11.3 %","29.9 %",".224",".323",".250",".333",".474",".352","118","1.1","4.7","-3.9","0.7","9218"
"2012","J.D. Martinez","Astros","113","439","11","34","55","0","9.1 %","21.9 %",".134",".290",".241",".311",".375",".303","88","-5.4","-11.9","-4.3","-0.3","6184"
"2013","J.D. Martinez","Astros","86","310","7","24","36","2","3.2 %","26.5 %",".128",".319",".250",".272",".378",".284","75","-1.4","-10.1","-8.0","-0.9","6184"
